Lasse Blaauwbroek, David M. Cerna, Thibault Gauthier, Jan Jakubuv, Cezary Kaliszyk, Martin Suda, Josef Urban 	 Learning Guided Automated Reasoning: A Brief Survey. 	 2024 	 AR, FM 	 https://doi.org/10.48550/arXiv.2403.04017 	 arXiv CoRR abs/2403.04017 (2024).
Thibault Gauthier, Miroslav Olsák, Josef Urban 	 Alien coding. 	 2023 	 AR 	 https://doi.org/10.1016/j.ijar.2023.109009 	 Int. J. Approx. Reason. 162: (2023/11).
Thibault Gauthier, Josef Urban 	 Learning Program Synthesis for Integer Sequences from Scratch. 	 2023 	 AR 	 https://doi.org/10.1609/aaai.v37i6.25930 	 Thirty-Seventh AAAI Conference on Artificial Intelligence, AAAI 2023, Thirty-Fifth Conference on Innovative Applications of Artificial Intelligence, IAAI 2023, Thirteenth Symposium on Educational Advances in Artificial Intelligence, EAAI 2023, Washington, DC, USA, February 7-14, 2023: 7670-7677 (2023).
Liao Zhang, Lasse Blaauwbroek, Cezary Kaliszyk, Josef Urban 	 Learning Proof Transformations and Its Applications in Interactive Theorem Proving. 	 2023 	 AR 	 https://doi.org/10.1007/978-3-031-43369-6_13 	 Frontiers of Combining Systems - 14th International Symposium, FroCoS 2023, Prague, Czech Republic, September 20-22, 2023, Proceedings: 236-254 (2023).
Chad E. Brown, Adam Pease, Josef Urban 	 Translating SUMO-K to Higher-Order Set Theory. 	 2023 	 AR, FM 	 https://doi.org/10.1007/978-3-031-43369-6_14 	 Frontiers of Combining Systems - 14th International Symposium, FroCoS 2023, Prague, Czech Republic, September 20-22, 2023, Proceedings: 255-274 (2023).
Mario Carneiro, Chad E. Brown, Josef Urban 	 Automated Theorem Proving for Metamath. 	 2023 	 AR, FM 	 https://doi.org/10.4230/LIPIcs.ITP.2023.9 	 14th International Conference on Interactive Theorem Proving, ITP 2023, July 31 to August 4, 2023, Białystok, Poland: 9:1-9:19 (2023).
Jan Jakubuv, Karel Chvalovský, Zarathustra Amadeus Goertzel, Cezary Kaliszyk, Mirek Olsák, Bartosz Piotrowski, Stephan Schulz, Martin Suda, Josef Urban 	 MizAR 60 for Mizar 50. 	 2023 	 AR, FM 	 https://doi.org/10.4230/LIPIcs.ITP.2023.19 	 14th International Conference on Interactive Theorem Proving, ITP 2023, July 31 to August 4, 2023, Białystok, Poland: 19:1-19:22 (2023).
Karel Chvalovský, Konstantin Korovin, Jelle Piepenbrock, Josef Urban 	 Guiding an Instantiation Prover with Graph Neural Networks. 	 2023 	 AR, FM 	 https://doi.org/10.29007/tp23 	 LPAR 2023: Proceedings of 24th International Conference on Logic for Programming, Artificial Intelligence and Reasoning, Manizales, Colombia, 4-9th June 2023.: 112-123 (2023).
Thibault Gauthier, Chad E. Brown, Mikolas Janota, Josef Urban 	 A Mathematical Benchmark for Inductive Theorem Provers. 	 2023 	 AR, FM 	 https://doi.org/10.29007/jr72 	 LPAR 2023: Proceedings of 24th International Conference on Logic for Programming, Artificial Intelligence and Reasoning, Manizales, Colombia, 4-9th June 2023.: 224-237 (2023).
Revantha Ramanayake, Josef Urban 	 Automated Reasoning with Analytic Tableaux and Related Methods - 32nd International Conference, TABLEAUX 2023, Prague, Czech Republic, September 18-21, 2023, Proceedings 	 2023 	 AR 	 https://doi.org/10.1007/978-3-031-43513-3 	 Lecture Notes in Computer Science 14278 (2023).
Thibault Gauthier, Miroslav Olsák, Josef Urban 	 Alien Coding. 	 2023 	 AR 	 https://doi.org/10.48550/arXiv.2301.11479 	 arXiv CoRR abs/2301.11479 (2023).
Jan Jakubuv, Karel Chvalovský, Zarathustra Amadeus Goertzel, Cezary Kaliszyk, Mirek Olsák, Bartosz Piotrowski, Stephan Schulz, Martin Suda, Josef Urban 	 MizAR 60 for Mizar 50. 	 2023 	 AR, FM 	 https://doi.org/10.48550/arXiv.2303.06686 	 arXiv CoRR abs/2303.06686 (2023).
Thibault Gauthier, Chad E. Brown, Mikolas Janota, Josef Urban 	 A Mathematical Benchmark for Inductive Theorem Provers. 	 2023 	 AR, FM 	 https://doi.org/10.48550/arXiv.2304.02986 	 arXiv CoRR abs/2304.02986 (2023).
Chad E. Brown, Adam Pease, Josef Urban 	 Translating SUMO-K to Higher-Order Set Theory. 	 2023 	 AR, FM 	 https://doi.org/10.48550/arXiv.2305.07903 	 arXiv CoRR abs/2305.07903 (2023).
Jelle Piepenbrock, Tom Heskes, Mikolás Janota, Josef Urban 	 Guiding an Automated Theorem Prover with Neural Rewriting. 	 2022 	 AR, FM 	 https://doi.org/10.1007/978-3-031-10769-6_35 	 Automated Reasoning - 11th International Joint Conference, IJCAR 2022, Haifa, Israel, August 8-10, 2022, Proceedings: 597-617 (2022).
Chad E. Brown, Cezary Kaliszyk, Thibault Gauthier, Josef Urban 	 Proofgold: Blockchain for Formal Methods. 	 2022 	 AR, FM 	 https://doi.org/10.4230/OASIcs.FMBC.2022.4 	 4th International Workshop on Formal Methods for Blockchains, FMBC@CAV 2022, August 11, 2022, Haifa, Israel.: 4:1-4:15 (2022).
Zarathustra Amadeus Goertzel, Jan Jakubuv, Cezary Kaliszyk, Miroslav Olsák, Jelle Piepenbrock, Josef Urban 	 The Isabelle ENIGMA. 	 2022 	 AR, FM 	 https://doi.org/10.4230/LIPIcs.ITP.2022.16 	 13th International Conference on Interactive Theorem Proving, ITP 2022, August 7-10, 2022, Haifa, Israel.: 16:1-16:21 (2022).
